********************************************************************************
Field Output Report, written Tue May 12 11:38:49 2026

Source 1
---------

   ODB: C:/Temp/ABAQUS/Enrico_test_flow/Flow_in_pipe.odb
   Step: Heat_transfer_step
   Frame: Increment      1: Step Time =    1.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: PIPE-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label        HFL.HFL1        HFL.HFL2        HFL.HFL3
                          @Loc 1          @Loc 1          @Loc 1
-----------------------------------------------------------------
               1         1.03033     16.4625E-03     507.876E-06
               2     19.8074E-03         1.02991     134.673E-06
               3         1.02855     31.2714E-03    -41.4744E-03
               4         1.02701     40.8950E-03    -78.8697E-03
               5         1.02699     59.6050E-03    -117.098E-03
               6         1.02570     90.1134E-03    -139.667E-03
               7         1.02384     105.889E-03    -161.645E-03
               8         1.02451     140.562E-03    -170.282E-03
               9         1.02007     161.985E-03    -173.910E-03
              10         1.01823     189.260E-03    -167.055E-03
              11         1.01684     213.658E-03    -154.297E-03
              12         1.01322     226.562E-03    -138.831E-03
              13         1.01043     240.590E-03    -115.582E-03
              14         1.00851     248.610E-03    -91.8621E-03
              15         1.00642     250.433E-03    -66.8184E-03
              16         1.00492     248.661E-03    -40.6392E-03
              17         1.00204     242.268E-03    -16.4676E-03
              18     999.885E-03     231.363E-03     5.78274E-03
              19     997.638E-03     218.134E-03     26.2688E-03
              20     995.672E-03     201.820E-03     43.7872E-03
              21     993.969E-03     184.288E-03     58.0147E-03
              22     992.157E-03     164.308E-03     69.8596E-03
              23     990.502E-03     143.564E-03     79.4759E-03
              24     989.435E-03     124.047E-03     82.1239E-03
              25     988.401E-03     104.354E-03     84.3804E-03
              26     986.907E-03     82.3726E-03     84.9669E-03
              27     985.471E-03     66.8015E-03     78.8869E-03
              28     983.368E-03     47.5044E-03     72.8671E-03
              29     983.510E-03     37.5262E-03     61.2130E-03
              30     982.281E-03     23.2783E-03     50.6904E-03
              31     982.931E-03     18.2725E-03     36.6612E-03
